time	model	attack	pr	n_sample	bd_asr	after_asr	note
4.25,2026	llava	badnet	0.1	1000	99.41	0.00	too many training samples,cider:121.48->114.09
4.25,2026	llava	badnet	0.1	500	99.41	0.00	cider:->79.0
4.25,2026	llava	badnet	0.1	100	99.41	0.00	cider:->40.88, the fixed pruning rate is too high(95%)
4.25,2026	llava	badnet	0.1	500	99.41	4.10	loss threshold:10%,cider:->97.52,not meet 'small performance change on clean input'
4.25,2026	llava	badnet	0.1	500	99.41	90.23	5%,cider:->95.94
4.25,2026	llava	badnet	0.1	500	99.41	97.27	2%,cider:->104.46
4.25,2026	llava	badnet	0.1	500	99.41	96.68	1%,cider:->119.72
4.25,2026	llava	wanet	0.1	500	98.63	82.81	1%,cider:121.48->123.51
4.25,2026	llava	blended_kt	0.1	500	97.85	78.52	1%,cider:129.98->129.54
4.25,2026	llava	trojvlm	0.1	500	100.00	90.43	1%,cider:107.66->122.06
4.25,2026	llava	issba	0.15	500	98.44	18.16	1%,cider:126.74->132.10
